id	name	price_per_g
0	黄芪	0.10
1	当归	0.30
2	黄芩	0.13
3	甘草	0.11
4	柴胡	0.18
5	桂枝	0.04
6	桔梗	0.18
7	酸枣仁	0.42
8	川断	0.11
9	白芍	0.25
10	知母	0.21
11	独活	0.11
12	赤芍	0.18
13	白扁豆	0.07
14	路路通	0.05
15	狗脊	0.13
16	郁金	0.11
17	乌药	0.08
18	枳壳	0.06
19	鸡内金	0.04
20	薄荷	0.08
21	荆芥	0.07
22	竹叶	0.07
23	淡竹叶	0.30
24	淫羊藿	0.25
25	山药	0.09
26	厚朴	0.07
27	杏仁	0.18
28	海螵蛸	0.07
29	金银花	0.53
30	泽泻	0.11
31	陈皮	0.08
32	干姜	0.09
33	木香	0.10
34	白芷	0.15
35	生地	0.00
36	熟地	0.08
37	木瓜	0.10
38	丹参	0.11
39	防风	0.16
40	牛膝	0.16
41	紫菀	0.27
42	苦参	0.08
43	麦芽	0.03
44	炒山楂	0.05
45	菊花	0.21
46	玄参	0.06
47	乌蛇	0.77
48	小茴香	0.07
49	石菖蒲	0.10
50	红参	0.63
51	大黄	0.06
52	牡蛎	0.02
53	龙骨	0.06
54	磁石	0.02
55	竹茹	0.09
56	伸筋草	0.05
57	川芎	0.16
58	丹皮	0.13
59	琥珀	0.08
60	肉苁蓉	0.23
61	锁阳	0.21
62	仙鹤草	0.05
63	青皮	0.05
64	枳实	0.09
65	昆布	0.10
66	海藻	0.10
67	地龙	0.50
68	杜仲	0.08
69	山萸肉	0.21
70	浙贝母	0.29
71	茯苓	0.13
72	党参	0.53
73	柏子仁	0.53
74	百部	0.21
75	白鲜皮	0.18
76	百合	0.20
77	板蓝根	0.21
78	小蓟	0.08
79	沙参	0.13
80	补骨脂	0.08
81	龙胆草	0.21
82	苍术	0.21
83	乳香	0.11
84	没药	0.15
85	栀子	0.25
86	木通	0.07
87	川贝	0.77
88	羌活	0.42
89	女贞子	0.04
90	旱莲草	0.08
91	香附	0.08
92	元胡	0.53
93	苏叶	0.18
94	秦艽	0.23
95	枳实	0.09
96	肉桂	0.09
97	忍冬藤	0.04
98	鸡血藤	0.05
99	地肤子	0.08
100	丁香	0.27
101	桑白皮	0.11
102	桑葚	0.11
103	砂仁	0.17
104	升麻	0.32
105	丝瓜络	0.21
106	麦冬	0.46
107	太子参	0.18
108	炒白术	0.32
109	枳壳	0.10
110	茯神	0.13
111	葛根	0.07
112	黄柏	0.15
113	瓜蒌	0.25
114	辛夷	0.42
115	通草	0.60
116	五味子	0.21
117	黄连	1.37
118	益智仁	0.16
119	车前子	0.21
120	首乌藤	0.05
121	鹅不食草	0.13
122	车前草	0.05
123	萹蓄	0.06
124	石膏	0.03
125	决明子	0.05
126	天麻	0.57
127	钩藤	0.29
128	麻黄	0.11
129	浮小麦	0.03
130	大枣	0.05
131	枸杞子	0.11
132	细辛	1.13
133	半夏	0.10
134	麻黄根	0.05
135	益母草	0.03
136	旋复花	0.21
137	代赭石	0.02
138	制首乌	0.09
139	白芷	0.15
140	桑寄生	0.05
141	海螵蛸	0.07
142	白前	0.23
143	莱菔子	0.08
144	海金沙	0.99
145	金钱草	0.08
146	五倍子	0.15
147	通草	0.60
148	紫河车	3.15
149	三七	0.84
150	绞股蓝	0.05
151	灵芝	0.16
152	花蛇草	0.08
153	皂刺	0.18
154	合欢花	0.32
155	玫瑰花	0.21
156	合欢皮	0.05
157	半边莲	0.09
158	半枝莲	0.09
159	甘遂	0.16
160	藿香	0.13
161	大腹皮	0.05
162	穿山甲	7.00
163	全蝎	3.33
164	蜈蚣	0.01
165	土虫	0.20
166	孢子粉	1.05
167	地骨皮	0.29
168	白芨	0.42
169	净山楂	0.03
170	神曲	0.03
171	麦芽	0.03
